Column names,Unique values
I think of myself as an environmentally friendly consumer - To what extent do you agree with the following statements?,[6. 5. 7. 4. 1. 3. 2.]
I think of myself as someone who is very concerned with environmental issues - To what extent do you agree with the following statements?,[5. 7. 4. 6. 2. 3. 1.]
Acting environmentally-friendly is an important part of who I am - To what extent do you agree with the following statements?,[6. 5. 7. 4. 1. 3. 2.]
I am the type of person who acts environmentally-friendly - To what extent do you agree with the following statements?,[4. 5. 7. 6. 3. 1. 2.]
"I do not know what the energy transition is - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",[4. 1. 3. 2. 6. 7. 5.]
"I think the energy transition is wrong and I do not want to participate in it - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",[6. 3. 1. 4. 2. 5. 7.]
"I think the energy transition is a good thing. However, I think myself can contribute little to it - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",[5. 4. 3. 6. 7. 1. 2.]
"The energy transition is a joint task in which everyone in society, including me, should make a contribution - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",[5. 6. 4. 7. 1. 2. 3.]
EU parliament / European Commission - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,"['Undecided' 'Fully distrust' 'Tend not to trust' 'Tend to trust'
 'Fully trust']"
"National politicians (members of parliament, ministers, etc.) - In how far do you trust the following groups and institutions regarding decisions on the energy transition?","['Undecided' 'Fully distrust' 'Tend not to trust' 'Tend to trust'
 'Fully trust']"
"Regional politicians (members of the state parliament, state ministers, etc.) - In how far do you trust the following groups and institutions regarding decisions on the energy transition?","['Undecided' 'Tend to trust' 'Tend not to trust' 'Fully distrust'
 'Fully trust']"
"Local politicians (members of city council, mayors, etc.) - In how far do you trust the following groups and institutions regarding decisions on the energy transition?","['Undecided' 'Tend to trust' 'Tend not to trust' 'Fully distrust'
 'Fully trust']"
National government agencies - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,"['Undecided' 'Tend to trust' 'Tend not to trust' 'Fully distrust'
 'Fully trust']"
